match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
80,1,Deccan Chargers,Royal Challengers Bangalore,1,1,AC Gilchrist,HH Gibbs,A Kumble,0,0,0,0,0,0,1,0,1,,,
80,1,Deccan Chargers,Royal Challengers Bangalore,1,2,HH Gibbs,AC Gilchrist,A Kumble,0,0,0,0,0,0,0,0,0,,,
80,1,Deccan Chargers,Royal Challengers Bangalore,1,3,HH Gibbs,AC Gilchrist,A Kumble,0,5,0,0,0,0,0,5,5,,,
80,1,Deccan Chargers,Royal Challengers Bangalore,1,4,HH Gibbs,AC Gilchrist,A Kumble,0,0,0,1,0,0,0,1,1,,,
80,1,Deccan Chargers,Royal Challengers Bangalore,1,5,AC Gilchrist,HH Gibbs,A Kumble,0,0,0,0,0,0,0,0,0,,,
80,1,Deccan Chargers,Royal Challengers Bangalore,1,6,AC Gilchrist,HH Gibbs,A Kumble,0,0,0,0,0,0,1,0,1,,,
80,1,Deccan Chargers,Royal Challengers Bangalore,1,7,HH Gibbs,AC Gilchrist,A Kumble,0,0,0,0,0,0,0,0,0,,,
80,1,Deccan Chargers,Royal Challengers Bangalore,2,1,AC Gilchrist,HH Gibbs,DW Steyn,0,0,0,0,0,0,1,0,1,,,
80,1,Deccan Chargers,Royal Challengers Bangalore,2,2,HH Gibbs,AC Gilchrist,DW Steyn,0,0,0,0,0,0,0,0,0,,,
80,1,Deccan Chargers,Royal Challengers Bangalore,2,3,HH Gibbs,AC Gilchrist,DW Steyn,0,1,0,0,0,0,0,1,1,,,
80,1,Deccan Chargers,Royal Challengers Bangalore,2,4,HH Gibbs,AC Gilchrist,DW Steyn,0,0,0,0,0,0,2,0,2,,,
80,1,Deccan Chargers,Royal Challengers Bangalore,2,5,HH Gibbs,AC Gilchrist,DW Steyn,0,0,0,0,0,0,4,0,4,,,
80,1,Deccan Chargers,Royal Challengers Bangalore,2,6,HH Gibbs,AC Gilchrist,DW Steyn,0,0,0,0,0,0,0,0,0,,,
80,1,Deccan Chargers,Royal Challengers Bangalore,2,7,HH Gibbs,AC Gilchrist,DW Steyn,0,0,0,0,0,0,1,0,1,,,
80,1,Deccan Chargers,Royal Challengers Bangalore,3,1,HH Gibbs,AC Gilchrist,A Kumble,0,0,0,0,0,0,1,0,1,,,
80,1,Deccan Chargers,Royal Challengers Bangalore,3,2,AC Gilchrist,HH Gibbs,A Kumble,0,0,0,0,0,0,0,0,0,,,
80,1,Deccan Chargers,Royal Challengers Bangalore,3,3,AC Gilchrist,HH Gibbs,A Kumble,0,0,0,0,0,0,0,0,0,,,
